"Year","adm1_name","area_sqkm","total_hotspots","avg_frp","max_frp","density"
2020,"Stung Treng",12021.2850163,22146,6.98708705861104,242.91,1.8422323378883
2020,"Kratie",11984.7525471,19580,6.33207405515832,446.22,1.63374253436195
2020,"Mondul Kiri",13663.56895802,18654,6.41638951431328,228.74,1.36523627591829
2020,"Ratanak Kiri",11779.14026941,18045,7.83033416458853,347.6,1.53194542108155
2020,"Pursat",11587.54775778,14894,6.1786303209346,211.68,1.28534529577235
2020,"Kampong Thom",12455.2628894,10767,8.95918175907867,504.85,0.864453853411895
2020,"Battambang",11869.03898236,10385,7.48210207029369,354.27,0.87496553136563
2020,"Oddar Meanchey",6634.42119887,10340,5.80113733075435,127.42,1.5585383698221
2020,"Siemreap",10548.68136218,10084,7.38960928203094,174.18,0.9559488673299
2020,"Kampong Speu",6969.48474432,4810,6.63438669438669,247.89,0.690151449706531
2020,"Kampong Chhnang",5300.39163482,4408,6.16326225045372,92.83,0.8316366607785
2020,"Banteay Meanchey",6145.93419218,4041,6.09954961643158,141.37,0.657507853751788
2020,"Koh Kong",11004.29689034,2453,7.88368120668569,155.72,0.222912924328072
2020,"Prey Veng",4764.68543432,1798,6.13899332591769,110.96,0.377359644153844
2020,"Tboung Khmum",4932.48344152,1580,6.48200632911392,185.94,0.320325454455678
2020,"Kampot",4721.13538115,1492,6.47425603217158,69.88,0.316025675933184
2020,"Kampong Cham",4552.80230523,1459,6.52637422892392,91.97,0.320461970932492
2020,"Kandal",3255.40173761,1352,6.3092825443787,136.62,0.415309724873647
2020,"Preah Sihanouk",2620.53028994,945,6.42415873015873,105.37,0.360614034353191
2020,"Takeo",3492.28131939,935,5.61054545454545,55.57,0.267733299379019
2020,NA,NA,737,5.29016282225237,145.84,NA
2020,"Svay Rieng",2869.28289566,565,8.05571681415929,156.1,0.196913312679835
2020,"Pailin",1075.86207794,447,4.79161073825503,48.99,0.415480765764967
2020,"Phnom Penh",684.78086373,170,5.45341176470588,55.7,0.248254600857288
2020,"Kep",151.60651811,19,4.56210526315789,9.28,0.12532442692348
2021,"Preah Vihear",14042.60182701,30156,6.91031038599284,349.68,2.14746528965857
2021,"Stung Treng",12021.2850163,21923,7.20023536924691,252.84,1.82368190840447
2021,"Kratie",11984.7525471,20522,7.14321167527531,285.27,1.71234240501409
2021,"Mondul Kiri",13663.56895802,18071,6.90146035083836,300.28,1.32256806808832
2021,"Ratanak Kiri",11779.14026941,13921,7.95758566194957,308.88,1.18183497959969
2021,"Oddar Meanchey",6634.42119887,9486,5.89501581277672,295.64,1.42981576171493
2021,"Siemreap",10548.68136218,8650,6.32499768786127,109.75,0.820007705514046
2021,"Kampong Thom",12455.2628894,8258,10.7941571809155,443.56,0.663012902523955
2021,"Pursat",11587.54775778,7630,6.80888466579292,172.04,0.658465463055127
2021,"Battambang",11869.03898236,4875,6.90525538461538,518.15,0.41073249546533
2021,"Kampong Speu",6969.48474432,3797,6.56783776665789,214.61,0.544803545641517
2021,"Banteay Meanchey",6145.93419218,3102,5.3527530625403,96.18,0.504723920400407
2021,"Kampong Chhnang",5300.39163482,2059,5.36812530354541,122.8,0.388461861284694
2021,"Koh Kong",11004.29689034,1971,8.57980213089802,237.12,0.179111852364709
2021,"Tboung Khmum",4932.48344152,1219,6.37204265791632,102.41,0.247137170241438
2021,"Kampot",4721.13538115,1109,6.68369702434626,110.86,0.234901122392695
2021,"Prey Veng",4764.68543432,939,5.63919062832801,114.05,0.197074919833404
2021,"Kampong Cham",4552.80230523,861,6.34361207897793,82.72,0.189114295389223
2021,"Preah Sihanouk",2620.53028994,746,6.36120643431635,95.31,0.284675205955006
2021,"Takeo",3492.28131939,506,5.43699604743083,74.56,0.144890962016881
2021,"Kandal",3255.40173761,433,4.99919168591224,29.54,0.133009697389267
2021,NA,NA,378,6.32796296296296,93.64,NA
2021,"Pailin",1075.86207794,238,5.45243697478992,41.59,0.221217946872622
2021,"Svay Rieng",2869.28289566,163,8.86343558282209,154.42,0.0568086194102887
2021,"Phnom Penh",684.78086373,70,4.85142857142857,29.33,0.102222482705942
2021,"Kep",151.60651811,6,4.97,7.7,0.0395761348179412
2022,"Preah Vihear",14042.60182701,17420,6.73410964408726,268.82,1.24051085508198
2022,"Stung Treng",12021.2850163,13982,7.06631311686454,219.23,1.16310361005844
2022,"Mondul Kiri",13663.56895802,13309,7.21075813359381,305,0.97405004804313
2022,"Kratie",11984.7525471,11176,6.64132874015748,327.28,0.932518210624574
2022,"Ratanak Kiri",11779.14026941,9088,7.81974581866197,243.82,0.771533388018242
2022,"Oddar Meanchey",6634.42119887,3596,5.64893770856507,115.64,0.5420216613037
2022,"Kampong Thom",12455.2628894,3488,11.2087901376147,564.32,0.280042262533732
2022,"Siemreap",10548.68136218,2658,6.01892776523702,100.01,0.251974622110559
2022,"Banteay Meanchey",6145.93419218,1476,5.06111788617886,58.35,0.240158770635397
2022,"Battambang",11869.03898236,1110,5.37599099099099,61,0.0935206297367212
2022,"Pursat",11587.54775778,1103,5.77496826835902,76.59,0.0951883886959115
2022,"Koh Kong",11004.29689034,849,6.90976442873969,161.61,0.0771516806989536
2022,"Kampong Speu",6969.48474432,779,6.61779204107831,119.42,0.111772968673885
2022,"Tboung Khmum",4932.48344152,375,4.89770666666667,40.81,0.0760266110258729
2022,"Kampong Cham",4552.80230523,329,5.62082066869301,66.87,0.0722631860430363
2022,"Kampong Chhnang",5300.39163482,303,5.07752475247525,27.47,0.0571655871633134
2022,NA,NA,212,5.74622641509434,39.9,NA
2022,"Kampot",4721.13538115,194,4.54365979381443,52.83,0.0410918104095427
2022,"Preah Sihanouk",2620.53028994,176,5.01903409090909,32.78,0.0671619788848271
2022,"Prey Veng",4764.68543432,148,4.96668918918919,17.3,0.0310618616989816
2022,"Kandal",3255.40173761,109,4.22211009174312,18.55,0.0334828106591919
2022,"Takeo",3492.28131939,100,4.3654,24.24,0.0286345774736919
2022,"Pailin",1075.86207794,47,4.75063829787234,13.22,0.0436858970714842
2022,"Phnom Penh",684.78086373,33,6.17939393939394,32.89,0.0481905989899441
2022,"Svay Rieng",2869.28289566,31,6.68645161290323,17.93,0.0108040932620794
2022,"Kep",151.60651811,2,4.435,5.08,0.0131920449393137
2023,"Preah Vihear",14042.60182701,19163,5.98389135312842,268.01,1.36463315246476
2023,"Stung Treng",12021.2850163,18424,6.26419398610508,270.22,1.53261485565132
2023,"Mondul Kiri",13663.56895802,15049,6.19559904312579,279.28,1.10139598564889
2023,"Kratie",11984.7525471,12500,6.4141848,314.63,1.04299191417387
2023,"Ratanak Kiri",11779.14026941,10939,7.36916262912515,290.03,0.9286755866562
2023,"Kampong Thom",12455.2628894,7135,9.6696608269096,268.72,0.572850213067137
2023,"Pursat",11587.54775778,5449,6.34113598825473,201.51,0.470246174074362
2023,"Oddar Meanchey",6634.42119887,4489,5.16897527288929,119.87,0.67662270233379
2023,"Siemreap",10548.68136218,4034,6.31099157164105,297.25,0.382417466363429
2023,"Battambang",11869.03898236,3350,5.73584776119403,107.93,0.282246945601816
2023,"Koh Kong",11004.29689034,2734,7.9963643013899,170.97,0.248448404041153
2023,"Banteay Meanchey",6145.93419218,2400,5.12867083333333,69.88,0.390502066073816
2023,"Kampong Speu",6969.48474432,1804,6.52881374722838,152.95,0.258842664297418
2023,"Kampong Chhnang",5300.39163482,834,4.55310551558753,41.78,0.157346863677239
2023,"Kampot",4721.13538115,540,5.23418518518519,54.18,0.114379266088418
2023,"Tboung Khmum",4932.48344152,537,6.35603351955307,49.63,0.10887010698905
2023,NA,NA,526,6.42144486692015,52.72,NA
2023,"Preah Sihanouk",2620.53028994,452,5.7595796460177,63.71,0.172484173045124
2023,"Kandal",3255.40173761,332,5.65710843373494,46.93,0.10198434072341
2023,"Prey Veng",4764.68543432,311,4.58260450160772,29.79,0.0652718850566438
2023,"Kampong Cham",4552.80230523,270,5.45511111111111,30.35,0.0593041344426134
2023,"Pailin",1075.86207794,199,5.77889447236181,46.18,0.184967947175008
2023,"Takeo",3492.28131939,179,4.35162011173184,13.21,0.0512558936779085
2023,"Svay Rieng",2869.28289566,78,5.8475641025641,20.18,0.0271844927239418
2023,"Phnom Penh",684.78086373,59,4.93101694915254,40.02,0.086158949709294
2023,"Kep",151.60651811,4,5.245,6.43,0.0263840898786274
2024,"Preah Vihear",14042.60182701,45252,7.55653960045965,356.19,3.22247974823019
2024,"Stung Treng",12021.2850163,36635,7.50958400436741,813.94,3.04751113964319
2024,"Mondul Kiri",13663.56895802,28002,7.24486286693808,685.77,2.04939134760716
2024,"Ratanak Kiri",11779.14026941,22547,7.98286734377079,442.23,1.91414648983795
2024,"Kratie",11984.7525471,20817,6.7374544843157,200.49,1.7369570141886
2024,"Kampong Thom",12455.2628894,14946,10.7824367723806,466.1,1.19997467196937
2024,"Pursat",11587.54775778,12700,6.7284842519685,121.25,1.09600411281784
2024,"Battambang",11869.03898236,10704,8.48050074738416,435.49,0.90184218081249
2024,"Siemreap",10548.68136218,10636,7.37532248965777,160.4,1.00827768275692
2024,"Oddar Meanchey",6634.42119887,9173,6.56206911588357,358.23,1.38263756928221
2024,"Kampong Speu",6969.48474432,7188,6.86339454646633,223.05,1.03135314355313
2024,"Banteay Meanchey",6145.93419218,6357,6.96813434009753,111.85,1.03434234751302
2024,"Kampong Chhnang",5300.39163482,5430,6.74987661141805,287.43,1.02445260163958
2024,"Koh Kong",11004.29689034,4421,8.3299570232979,351.87,0.401752155912926
2024,"Kandal",3255.40173761,3030,7.1680396039604,262.56,0.930760699975702
2024,"Kampot",4721.13538115,2647,6.55903664525878,119.72,0.560670217288967
2024,"Kampong Cham",4552.80230523,2171,7.00668816213726,153.99,0.476849169907088
2024,"Tboung Khmum",4932.48344152,1976,7.19203947368421,407.02,0.400609555699
2024,"Prey Veng",4764.68543432,1576,6.41021573604061,52.72,0.330766851605372
2024,"Takeo",3492.28131939,1566,5.94879310344828,71.72,0.448417483238016
2024,"Preah Sihanouk",2620.53028994,1232,6.23130681818182,86.26,0.470133852193789
2024,NA,NA,851,7.04366627497062,77.35,NA
2024,"Svay Rieng",2869.28289566,343,7.87201166180758,74.13,0.119542064157847
2024,"Pailin",1075.86207794,192,5.6371875,34.7,0.178461536972872
2024,"Phnom Penh",684.78086373,179,5.94569832402235,72.21,0.261397491490909
2024,"Kep",151.60651811,19,5.23157894736842,20.39,0.12532442692348
2025,"Preah Vihear",14042.60182701,35727,7.09836090351835,192.04,2.54418664291125
2025,"Mondul Kiri",13663.56895802,27119,6.4851974630333,331.06,1.98476694363826
2025,"Stung Treng",12021.2850163,26056,7.33425967147682,527.14,2.16748874722377
2025,"Kratie",11984.7525471,19176,6.79195556946183,335.25,1.60003303569585
2025,"Ratanak Kiri",11779.14026941,17471,8.25540323965428,441.25,1.48321520929431
2025,"Oddar Meanchey",6634.42119887,10403,5.8752388734019,152.23,1.56803429992836
2025,"Siemreap",10548.68136218,10181,7.22108142618603,167.51,0.965144329461098
2025,"Battambang",11869.03898236,9828,6.94290293040293,115.45,0.828036710858105
2025,"Pursat",11587.54775778,9549,7.24413551157189,192.1,0.824074273487995
2025,"Banteay Meanchey",6145.93419218,8206,6.18369973190349,262.53,1.33519164758406
2025,"Kampong Speu",6969.48474432,7756,6.93791645177927,336.55,1.11285127732305
2025,"Kampong Thom",12455.2628894,6352,8.09040774559194,238.95,0.509985221219686
2025,"Kampong Chhnang",5300.39163482,4005,6.00629712858926,244.63,0.755604543198252
2025,"Koh Kong",11004.29689034,3578,7.82746226942426,206.41,0.325145716773682
2025,"Kampot",4721.13538115,2141,6.3170761326483,115.98,0.453492608695005
2025,"Preah Sihanouk",2620.53028994,1771,6.37685488424619,97.25,0.675817412528572
2025,"Tboung Khmum",4932.48344152,1763,6.5898355076574,143.83,0.357426440636304
2025,"Kampong Cham",4552.80230523,1360,6.57980147058824,115.03,0.298717121636867
2025,"Prey Veng",4764.68543432,1037,5.4726518804243,39.82,0.217642909336783
2025,NA,NA,899,6.11740823136819,56.33,NA
2025,"Takeo",3492.28131939,825,5.44032727272727,36.26,0.236235264157958
2025,"Kandal",3255.40173761,645,4.82257364341085,25.08,0.198132228212649
2025,"Pailin",1075.86207794,291,7.39068728522337,128.69,0.270480766974509
2025,"Phnom Penh",684.78086373,186,5.20860215053763,28.05,0.271619739761503
2025,"Svay Rieng",2869.28289566,172,6.09598837209302,29.34,0.0599452916476666
2025,"Kep",151.60651811,14,3.26642857142857,8.29,0.0923443145751961
